Component,Pin,Connects To,Soldered (Checkbox),Verified (Checkbox)
ESP32-S3,3V3,"MCP4725 VDD, ADS1115 VDD, 4x MUX VCC",,
ESP32-S3,GND,All module GNDs,,
ESP32-S3,GPIO8,I2C SDA (DAC & ADC),,
ESP32-S3,GPIO9,I2C SCL (DAC & ADC),,
ESP32-S3,GPIO37,MUX_I_SRC EN,,
ESP32-S3,GPIO4,MUX_I_SRC S0,,
ESP32-S3,GPIO5,MUX_I_SRC S1,,
ESP32-S3,GPIO6,MUX_I_SRC S2,,
ESP32-S3,GPIO7,MUX_I_SRC S3,,
ESP32-S3,GPIO38,MUX_I_RET EN,,
ESP32-S3,GPIO10,MUX_I_RET S0,,
ESP32-S3,GPIO11,MUX_I_RET S1,,
ESP32-S3,GPIO12,MUX_I_RET S2,,
ESP32-S3,GPIO13,MUX_I_RET S3,,
ESP32-S3,GPIO39,MUX_VP EN,,
ESP32-S3,GPIO15,MUX_VP S0,,
ESP32-S3,GPIO16,MUX_VP S1,,
ESP32-S3,GPIO17,MUX_VP S2,,
ESP32-S3,GPIO18,MUX_VP S3,,
ESP32-S3,GPIO40,MUX_VN EN,,
ESP32-S3,GPIO36,MUX_VN S0,,
ESP32-S3,GPIO35,MUX_VN S1,,
ESP32-S3,GPIO41,MUX_VN S2,,
ESP32-S3,GPIO42,MUX_VN S3,,
MUX_I_SRC,VCC,ESP32 3V3,,
MUX_I_SRC,GND,System GND,,
MUX_I_SRC,SIG/COM,OPA2134PA Pin 5 Junction (Current output),,
MUX_I_SRC,C0 - C11,Electrodes E1-E12 Bus,,
MUX_I_RET,VCC,ESP32 3V3,,
MUX_I_RET,GND,System GND,,
MUX_I_RET,SIG/COM,System GND (or 100Ω shunt to GND),,
MUX_I_RET,C0 - C11,Electrodes E1-E12 Bus,,
MUX_VP,VCC,ESP32 3V3,,
MUX_VP,GND,System GND,,
MUX_VP,SIG/COM,ADS1115 A0,,
MUX_VP,C0 - C11,Electrodes E1-E12 Bus,,
MUX_VN,VCC,ESP32 3V3,,
MUX_VN,GND,System GND,,
MUX_VN,SIG/COM,ADS1115 A1,,
MUX_VN,C0 - C11,Electrodes E1-E12 Bus,,
MCP4725 (DAC),VDD,ESP32 3V3,,
MCP4725 (DAC),GND,System GND,,
MCP4725 (DAC),SDA,ESP32 GPIO8,,
MCP4725 (DAC),SCL,ESP32 GPIO9,,
MCP4725 (DAC),ADDR,GND,,
MCP4725 (DAC),VOUT,Resistor R3 (5kΩ to OPA2134PA Pin 3),,
ADS1115 (ADC),VDD,ESP32 3V3,,
ADS1115 (ADC),GND,System GND,,
ADS1115 (ADC),SDA,ESP32 GPIO8,,
ADS1115 (ADC),SCL,ESP32 GPIO9,,
ADS1115 (ADC),ADDR,GND,,
ADS1115 (ADC),A0,MUX_VP SIG/COM,,
ADS1115 (ADC),A1,MUX_VN SIG/COM,,
OPA2134PA (Current Pump),R1 (5kΩ),Between Pin 2 and GND,,
OPA2134PA (Current Pump),R2 (100Ω),Between Pin 1 and Pin 2,,
OPA2134PA (Current Pump),R3 (5kΩ),Between DAC VOUT and Pin 3,,
OPA2134PA (Current Pump),R4 (100Ω),Between Pin 7 and Pin 3,,
OPA2134PA (Current Pump),Rs (68Ω),Between Pin 1 and Pin 5,,
OPA2134PA (Current Pump),Pin 4 (V-),System GND (or Negative Supply),,
OPA2134PA (Current Pump),Pin 6 (Inv B),Tied directly to Pin 7,,
OPA2134PA (Current Pump),Pin 8 (V+),Positive Supply (+9V),,
OPA2134PA (Current Pump),Pin 5 Junction,MUX_I_SRC SIG/COM,,
