timestamp,E1_mv,E2_mv,E3_mv,E4_mv,E5_mv,E6_mv,E7_mv,E8_mv,E1_delta_mv,E2_delta_mv,E3_delta_mv,E4_delta_mv,E5_delta_mv,E6_delta_mv,E7_delta_mv,E8_delta_mv
2026-05-27T18:06:43,-178.250000,-216.750000,-233.000000,-274.500000,-511.500000,-232.500000,-249.750000,-248.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-27T18:06:45,-173.250000,-220.500000,-242.750000,-263.500000,-511.500000,-240.500000,-258.250000,-247.250000,5.000000,-3.750000,-9.750000,11.000000,0.000000,-8.000000,-8.500000,1.500000
2026-05-27T18:07:26,-177.250000,-232.000000,-243.000000,-271.500000,-510.250000,-235.250000,-258.250000,-244.500000,1.000000,-15.250000,-10.000000,3.000000,1.250000,-2.750000,-8.500000,4.250000
2026-05-27T18:07:26,-175.750000,-235.750000,-241.500000,-279.000000,-511.250000,-229.500000,-251.000000,-250.250000,2.500000,-19.000000,-8.500000,-4.500000,0.250000,3.000000,-1.250000,-1.500000
2026-05-27T18:07:27,-173.500000,-242.750000,-244.500000,-273.750000,-510.500000,-229.000000,-262.500000,-258.000000,4.750000,-26.000000,-11.500000,0.750000,1.000000,3.500000,-12.750000,-9.250000
2026-05-27T18:07:28,-173.000000,-238.500000,-245.750000,-270.250000,-509.000000,-232.000000,-259.750000,-250.250000,5.250000,-21.750000,-12.750000,4.250000,2.500000,0.500000,-10.000000,-1.500000
2026-05-27T18:07:28,-170.750000,-241.000000,-240.750000,-269.250000,-513.750000,-239.500000,-264.000000,-255.250000,7.500000,-24.250000,-7.750000,5.250000,-2.250000,-7.000000,-14.250000,-6.500000
2026-05-27T18:07:29,-176.750000,-240.500000,-248.750000,-270.250000,-513.000000,-244.000000,-259.750000,-255.000000,1.500000,-23.750000,-15.750000,4.250000,-1.500000,-11.500000,-10.000000,-6.250000
2026-05-27T18:07:30,-178.500000,-234.250000,-244.000000,-270.000000,-512.500000,-238.750000,-263.000000,-248.500000,-0.250000,-17.500000,-11.000000,4.500000,-1.000000,-6.250000,-13.250000,0.250000
2026-05-27T18:07:30,-177.500000,-226.750000,-245.000000,-266.750000,-510.250000,-246.250000,-254.500000,-259.000000,0.750000,-10.000000,-12.000000,7.750000,1.250000,-13.750000,-4.750000,-10.250000
2026-05-27T18:07:31,-179.000000,-224.000000,-244.500000,-272.500000,-507.000000,-233.750000,-254.000000,-262.250000,-0.750000,-7.250000,-11.500000,2.000000,4.500000,-1.250000,-4.250000,-13.500000
2026-05-27T18:07:31,-176.500000,-224.250000,-243.750000,-274.000000,-507.750000,-239.000000,-245.500000,-249.750000,1.750000,-7.500000,-10.750000,0.500000,3.750000,-6.500000,4.250000,-1.000000
2026-05-27T18:07:32,-172.000000,-229.000000,-246.500000,-265.000000,-509.500000,-235.250000,-248.750000,-251.500000,6.250000,-12.250000,-13.500000,9.500000,2.000000,-2.750000,1.000000,-2.750000
2026-05-27T18:07:33,-177.250000,-231.750000,-242.500000,-269.000000,-512.250000,-247.750000,-253.750000,-252.750000,1.000000,-15.000000,-9.500000,5.500000,-0.750000,-15.250000,-4.000000,-4.000000
2026-05-27T18:07:33,-178.250000,-233.250000,-240.000000,-259.000000,-511.000000,-235.250000,-247.500000,-251.250000,0.000000,-16.500000,-7.000000,15.500000,0.500000,-2.750000,2.250000,-2.500000
2026-05-27T18:07:34,-176.750000,-234.250000,-239.250000,-267.500000,-508.750000,-233.000000,-248.500000,-248.750000,1.500000,-17.500000,-6.250000,7.000000,2.750000,-0.500000,1.250000,0.000000
2026-05-27T18:07:34,-172.750000,-228.750000,-239.750000,-263.000000,-507.000000,-233.750000,-256.750000,-247.000000,5.500000,-12.000000,-6.750000,11.500000,4.500000,-1.250000,-7.000000,1.750000
2026-05-27T18:07:35,-174.750000,-228.750000,-238.500000,-256.250000,-511.750000,-230.000000,-248.000000,-248.750000,3.500000,-12.000000,-5.500000,18.250000,-0.250000,2.500000,1.750000,0.000000
2026-05-27T18:07:35,-174.500000,-228.500000,-240.500000,-272.000000,-505.500000,-231.000000,-244.250000,-253.750000,3.750000,-11.750000,-7.500000,2.500000,6.000000,1.500000,5.500000,-5.000000
2026-05-27T18:07:36,-176.500000,-224.000000,-237.250000,-261.500000,-505.000000,-231.750000,-244.750000,-251.250000,1.750000,-7.250000,-4.250000,13.000000,6.500000,0.750000,5.000000,-2.500000
