i_plus,i_minus,v_plus,v_minus,percent_error,sign_flipped,threshold_percent,status
E12,E1,E10,E11,99.5778,YES,10.0000,FAIL
E5,E6,E1,E2,98.9708,YES,10.0000,FAIL
E6,E7,E2,E3,98.3699,YES,10.0000,FAIL
E9,E10,E7,E8,98.2771,no,10.0000,FAIL
E3,E4,E8,E9,98.1723,no,10.0000,FAIL
E10,E11,E3,E4,96.8756,no,10.0000,FAIL
E2,E3,E7,E8,96.8463,no,10.0000,FAIL
E1,E2,E4,E5,95.7720,no,10.0000,FAIL
E12,E1,E4,E5,95.4825,YES,10.0000,FAIL
E11,E12,E6,E7,93.9087,YES,10.0000,FAIL
E11,E12,E3,E4,93.1487,no,10.0000,FAIL
E8,E9,E5,E6,90.0040,YES,10.0000,FAIL
E10,E11,E8,E9,89.8101,YES,10.0000,FAIL
E8,E9,E2,E3,89.5245,YES,10.0000,FAIL
E6,E7,E3,E4,89.5205,YES,10.0000,FAIL
E5,E6,E2,E3,88.4489,YES,10.0000,FAIL
E5,E6,E12,E1,85.8524,YES,10.0000,FAIL
E9,E10,E2,E3,85.5263,no,10.0000,FAIL
E10,E11,E4,E5,84.7477,no,10.0000,FAIL
E11,E12,E4,E5,83.3975,no,10.0000,FAIL
E4,E5,E8,E9,82.2381,no,10.0000,FAIL
E6,E7,E10,E11,81.3232,YES,10.0000,FAIL
E9,E10,E12,E1,80.1400,no,10.0000,FAIL
E10,E11,E7,E8,75.6926,no,10.0000,FAIL
E7,E8,E1,E2,72.7923,no,10.0000,FAIL
E2,E3,E10,E11,71.0674,YES,10.0000,FAIL
E3,E4,E7,E8,68.9454,no,10.0000,FAIL
E11,E12,E9,E10,66.2380,no,10.0000,FAIL
E5,E6,E9,E10,65.8441,YES,10.0000,FAIL
E5,E6,E3,E4,64.7957,YES,10.0000,FAIL
E3,E4,E9,E10,63.3802,no,10.0000,FAIL
E6,E7,E12,E1,61.3682,no,10.0000,FAIL
E1,E2,E3,E4,60.3469,no,10.0000,FAIL
E12,E1,E3,E4,56.9737,no,10.0000,FAIL
E6,E7,E8,E9,55.5128,no,10.0000,FAIL
E11,E12,E2,E3,54.3377,YES,10.0000,FAIL
E12,E1,E8,E9,54.0461,YES,10.0000,FAIL
E4,E5,E9,E10,53.1104,YES,10.0000,FAIL
E8,E9,E1,E2,51.3992,YES,10.0000,FAIL
E2,E3,E4,E5,44.6964,YES,10.0000,FAIL
E10,E11,E1,E2,41.8110,YES,10.0000,FAIL
E6,E7,E4,E5,40.9182,YES,10.0000,FAIL
E11,E12,E1,E2,38.6457,YES,10.0000,FAIL
E4,E5,E7,E8,38.5780,YES,10.0000,FAIL
E8,E9,E11,E12,35.7248,no,10.0000,FAIL
E1,E2,E6,E7,27.9034,no,10.0000,FAIL
E7,E8,E11,E12,21.3069,no,10.0000,FAIL
E12,E1,E7,E8,20.4721,no,10.0000,FAIL
E9,E10,E1,E2,15.0806,no,10.0000,FAIL
E7,E8,E5,E6,11.3729,YES,10.0000,FAIL
E5,E6,E10,E11,8.8964,no,10.0000,OK
E12,E1,E2,E3,8.6346,no,10.0000,OK
E6,E7,E9,E10,1.6215,no,10.0000,OK
E5,E6,E11,E12,1.5759,no,10.0000,OK
