run_id,frame_index,i_plus,i_minus,v_plus,v_minus,voltage_mv
20260613-000525,0,E1,E7,E2,E3,13.000000
20260613-000525,0,E1,E7,E3,E4,-3.000000
20260613-000525,0,E1,E7,E4,E5,4.000000
20260613-000525,0,E1,E7,E5,E6,-17.000000
20260613-000525,0,E1,E7,E8,E9,-85.000000
20260613-000525,0,E1,E7,E9,E10,-113.000000
20260613-000525,0,E1,E7,E10,E11,112.000000
20260613-000525,0,E1,E7,E11,E12,103.500000
20260613-000525,0,E2,E8,E3,E4,-2.500000
20260613-000525,0,E2,E8,E4,E5,8.000000
20260613-000525,0,E2,E8,E5,E6,-24.000000
20260613-000525,0,E2,E8,E6,E7,159.500000
20260613-000525,0,E2,E8,E9,E10,-153.500000
20260613-000525,0,E2,E8,E10,E11,145.500000
20260613-000525,0,E2,E8,E11,E12,135.500000
20260613-000525,0,E2,E8,E12,E1,7.500000
20260613-000525,0,E3,E9,E1,E2,6.000000
20260613-000525,0,E3,E9,E4,E5,10.000000
20260613-000525,0,E3,E9,E5,E6,-30.000000
20260613-000525,0,E3,E9,E6,E7,193.500000
20260613-000525,0,E3,E9,E7,E8,-12.000000
20260613-000525,0,E3,E9,E10,E11,173.000000
20260613-000525,0,E3,E9,E11,E12,162.000000
20260613-000525,0,E3,E9,E12,E1,8.000000
20260613-000525,0,E4,E10,E1,E2,8.000000
20260613-000525,0,E4,E10,E2,E3,20.000000
20260613-000525,0,E4,E10,E5,E6,-34.000000
20260613-000525,0,E4,E10,E6,E7,217.500000
20260613-000525,0,E4,E10,E7,E8,-12.000000
20260613-000525,0,E4,E10,E8,E9,-175.500000
20260613-000525,0,E4,E10,E11,E12,181.000000
20260613-000525,0,E4,E10,E12,E1,10.000000
20260613-000525,0,E5,E11,E1,E2,10.000000
20260613-000525,0,E5,E11,E2,E3,20.000000
20260613-000525,0,E5,E11,E3,E4,-2.000000
20260613-000525,0,E5,E11,E6,E7,237.500000
20260613-000525,0,E5,E11,E7,E8,-12.000000
20260613-000525,0,E5,E11,E8,E9,-191.500000
20260613-000525,0,E5,E11,E9,E10,-232.000000
20260613-000525,0,E5,E11,E12,E1,10.000000
20260613-000525,0,E6,E12,E1,E2,12.000000
20260613-000525,0,E6,E12,E2,E3,20.000000
20260613-000525,0,E6,E12,E3,E4,-2.000000
20260613-000525,0,E6,E12,E4,E5,13.000000
20260613-000525,0,E6,E12,E7,E8,-12.000000
20260613-000525,0,E6,E12,E8,E9,-204.000000
20260613-000525,0,E6,E12,E9,E10,-246.500000
20260613-000525,0,E6,E12,E10,E11,226.000000
20260613-000525,0,E7,E1,E2,E3,16.000000
20260613-000525,0,E7,E1,E3,E4,-0.500000
20260613-000525,0,E7,E1,E4,E5,14.000000
20260613-000525,0,E7,E1,E5,E6,-42.500000
20260613-000525,0,E7,E1,E8,E9,-206.500000
20260613-000525,0,E7,E1,E9,E10,-248.000000
20260613-000525,0,E7,E1,E10,E11,221.500000
20260613-000525,0,E7,E1,E11,E12,214.500000
20260613-000525,0,E8,E2,E3,E4,-2.000000
20260613-000525,0,E8,E2,E4,E5,14.000000
20260613-000525,0,E8,E2,E5,E6,-44.000000
20260613-000525,0,E8,E2,E6,E7,286.000000
20260613-000525,0,E8,E2,E9,E10,-274.500000
20260613-000525,0,E8,E2,E10,E11,252.000000
20260613-000525,0,E8,E2,E11,E12,238.000000
20260613-000525,0,E8,E2,E12,E1,12.500000
20260613-000525,0,E9,E3,E1,E2,14.000000
20260613-000525,0,E9,E3,E4,E5,14.000000
20260613-000525,0,E9,E3,E5,E6,-46.000000
20260613-000525,0,E9,E3,E6,E7,298.000000
20260613-000525,0,E9,E3,E7,E8,-12.500000
20260613-000525,0,E9,E3,E10,E11,263.500000
20260613-000525,0,E9,E3,E11,E12,248.000000
20260613-000525,0,E9,E3,E12,E1,14.000000
20260613-000525,0,E10,E4,E1,E2,16.000000
20260613-000525,0,E10,E4,E2,E3,17.500000
20260613-000525,0,E10,E4,E5,E6,-48.000000
20260613-000525,0,E10,E4,E6,E7,295.000000
20260613-000525,0,E10,E4,E7,E8,-10.000000
20260613-000525,0,E10,E4,E8,E9,-239.000000
20260613-000525,0,E10,E4,E11,E12,248.000000
20260613-000525,0,E10,E4,E12,E1,14.000000
20260613-000525,0,E11,E5,E1,E2,16.000000
20260613-000525,0,E11,E5,E2,E3,18.000000
20260613-000525,0,E11,E5,E3,E4,-1.500000
20260613-000525,0,E11,E5,E6,E7,307.000000
20260613-000525,0,E11,E5,E7,E8,-10.000000
20260613-000525,0,E11,E5,E8,E9,-249.000000
20260613-000525,0,E11,E5,E9,E10,-300.500000
20260613-000525,0,E11,E5,E12,E1,16.500000
20260613-000525,0,E12,E6,E1,E2,18.000000
20260613-000525,0,E12,E6,E2,E3,14.000000
20260613-000525,0,E12,E6,E3,E4,-0.500000
20260613-000525,0,E12,E6,E4,E5,16.000000
20260613-000525,0,E12,E6,E7,E8,-8.000000
20260613-000525,0,E12,E6,E8,E9,-231.500000
20260613-000525,0,E12,E6,E9,E10,-281.000000
20260613-000525,0,E12,E6,E10,E11,250.000000
20260613-000525,1,E1,E7,E2,E3,12.500000
20260613-000525,1,E1,E7,E3,E4,-4.000000
20260613-000525,1,E1,E7,E4,E5,6.000000
20260613-000525,1,E1,E7,E5,E6,-26.000000
20260613-000525,1,E1,E7,E8,E9,-135.000000
20260613-000525,1,E1,E7,E9,E10,-174.000000
20260613-000525,1,E1,E7,E10,E11,172.500000
20260613-000525,1,E1,E7,E11,E12,162.500000
20260613-000525,1,E2,E8,E3,E4,-2.000000
