run_id,capture,frame_id,pattern,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality,dac_code,settle_ms,sample_count
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E3,E4,296.000000,335.000000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E4,E5,8.000000,332.500000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E5,E6,-306.000000,329.688000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E6,E7,-8.000000,327.187000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E7,E8,6.000000,327.187000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E8,E9,278.000000,326.875000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E9,E10,28.000000,325.625000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E10,E11,-306.000000,325.625000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E1,E2,E11,E12,-2.000000,325.000000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E3,E4,231.000000,386.875000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E4,E5,8.000000,347.500000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E5,E6,-308.000000,339.687000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E6,E7,-10.000000,336.875000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E7,E8,8.000000,332.812000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E8,E9,282.000000,331.250000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E9,E10,28.000000,327.812000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E10,E11,-308.000000,326.875000,OK,100,10,4
20260622-161107,baseline,68,adjacent,REV,E2,E1,E11,E12,-4.000000,326.563000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E4,E5,8.000000,330.312000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E5,E6,-312.000000,328.437000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E6,E7,-12.000000,327.812000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E7,E8,8.000000,325.625000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E8,E9,286.000000,323.750000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E9,E10,28.000000,321.875000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E10,E11,-312.000000,321.875000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E11,E12,-4.000000,323.125000,OK,100,10,4
20260622-161107,baseline,68,adjacent,FWD,E2,E3,E12,E1,165.000000,323.125000,OK,100,10,4
