i_plus,i_minus,v_plus,v_minus,percent_error,threshold_percent,status
E7,E8,E5,E6,200.0000,10.0000,FAIL
E10,E11,E1,E2,200.0000,10.0000,FAIL
E5,E6,E2,E3,200.0000,10.0000,FAIL
E5,E6,E3,E4,200.0000,10.0000,FAIL
E12,E1,E3,E4,200.0000,10.0000,FAIL
E5,E6,E1,E2,200.0000,10.0000,FAIL
E6,E7,E4,E5,200.0000,10.0000,FAIL
E6,E7,E10,E11,200.0000,10.0000,FAIL
E3,E4,E7,E8,200.0000,10.0000,FAIL
E3,E4,E8,E9,200.0000,10.0000,FAIL
E4,E5,E7,E8,200.0000,10.0000,FAIL
E1,E2,E4,E5,200.0000,10.0000,FAIL
E11,E12,E9,E10,200.0000,10.0000,FAIL
E5,E6,E11,E12,200.0000,10.0000,FAIL
E8,E9,E2,E3,200.0000,10.0000,FAIL
E12,E1,E10,E11,200.0000,10.0000,FAIL
E7,E8,E11,E12,200.0000,10.0000,FAIL
E10,E11,E7,E8,200.0000,10.0000,FAIL
E11,E12,E1,E2,200.0000,10.0000,FAIL
E8,E9,E11,E12,200.0000,10.0000,FAIL
E2,E3,E7,E8,200.0000,10.0000,FAIL
E9,E10,E2,E3,200.0000,10.0000,FAIL
E5,E6,E10,E11,200.0000,10.0000,FAIL
E3,E4,E9,E10,200.0000,10.0000,FAIL
E6,E7,E2,E3,200.0000,10.0000,FAIL
E6,E7,E3,E4,200.0000,10.0000,FAIL
E4,E5,E9,E10,200.0000,10.0000,FAIL
E10,E11,E8,E9,200.0000,10.0000,FAIL
E11,E12,E6,E7,200.0000,10.0000,FAIL
E11,E12,E4,E5,200.0000,10.0000,FAIL
E1,E2,E3,E4,200.0000,10.0000,FAIL
E12,E1,E2,E3,200.0000,10.0000,FAIL
E4,E5,E8,E9,197.1149,10.0000,FAIL
E8,E9,E5,E6,184.5429,10.0000,FAIL
E2,E3,E4,E5,179.1754,10.0000,FAIL
E5,E6,E12,E1,119.4452,10.0000,FAIL
E10,E11,E3,E4,118.2268,10.0000,FAIL
E10,E11,E4,E5,117.0626,10.0000,FAIL
E5,E6,E9,E10,114.1543,10.0000,FAIL
E11,E12,E2,E3,109.1801,10.0000,FAIL
E2,E3,E10,E11,105.8536,10.0000,FAIL
E11,E12,E3,E4,94.2249,10.0000,FAIL
E12,E1,E4,E5,69.3416,10.0000,FAIL
E8,E9,E1,E2,13.8633,10.0000,FAIL
E1,E2,E6,E7,9.0356,10.0000,OK
E7,E8,E1,E2,7.2339,10.0000,OK
E9,E10,E1,E2,6.3101,10.0000,OK
E9,E10,E12,E1,5.6857,10.0000,OK
E12,E1,E8,E9,5.3865,10.0000,OK
E6,E7,E12,E1,3.7467,10.0000,OK
E12,E1,E7,E8,1.3359,10.0000,OK
E9,E10,E7,E8,0.8209,10.0000,OK
E6,E7,E8,E9,0.6196,10.0000,OK
E6,E7,E9,E10,0.4447,10.0000,OK
