record_type,rank,frame,i_plus,i_minus,v_plus,v_minus,electrode,rms_kohm,relative_rms_percent,correlation,max_abs_kohm
frame,,1,,,,,,0.000200631,0.232275,0.999997648,
frame,,2,,,,,,0.000146175,0.169229,0.999998961,
frame,,3,,,,,,0.000189622,0.219529,0.999997585,
frame,,4,,,,,,0.000179466,0.207772,0.999998052,
frame,,5,,,,,,0.000133602,0.154673,0.999998949,
frame,,6,,,,,,0.000148051,0.171401,0.999998840,
frame,,7,,,,,,0.000153342,0.177527,0.999998797,
frame,,8,,,,,,0.000218068,0.252461,0.999996972,
frame,,9,,,,,,0.000162249,0.187839,0.999998254,
frame,,10,,,,,,0.000221311,0.256216,0.999996833,
frame,,11,,,,,,0.000204312,0.236537,0.999997393,
frame,,12,,,,,,0.000157082,0.181856,0.999998358,
pair,1,,E9,E10,E11,E12,,0.000925528,,,0.001935113
pair,2,,E8,E9,E5,E6,,0.000641040,,,0.001586976
pair,3,,E1,E2,E3,E4,,0.000595247,,,0.000886889
pair,4,,E8,E9,E10,E11,,0.000511041,,,0.001116114
pair,5,,E6,E7,E4,E5,,0.000478897,,,0.001103286
pair,6,,E12,E1,E2,E3,,0.000464172,,,0.000911185
pair,7,,E10,E11,E12,E1,,0.000409056,,,0.000666238
pair,8,,E7,E8,E5,E6,,0.000376740,,,0.000694306
pair,9,,E7,E8,E4,E5,,0.000313917,,,0.000498987
pair,10,,E8,E9,E11,E12,,0.000271858,,,0.000616053
pair,11,,E2,E3,E4,E5,,0.000220061,,,0.000461686
pair,12,,E9,E10,E5,E6,,0.000197790,,,0.000343114
pair,13,,E9,E10,E7,E8,,0.000197693,,,0.000252469
pair,14,,E2,E3,E12,E1,,0.000187933,,,0.000426624
pair,15,,E3,E4,E5,E6,,0.000168535,,,0.000384401
pair,16,,E1,E2,E4,E5,,0.000140417,,,0.000443889
pair,17,,E1,E2,E11,E12,,0.000134748,,,0.000252156
pair,18,,E9,E10,E12,E1,,0.000131662,,,0.000215212
pair,19,,E9,E10,E4,E5,,0.000128731,,,0.000190132
