record_type,rank,frame,i_plus,i_minus,v_plus,v_minus,baseline_rms_kohm,max_abs_kohm,kept_pairs,dropped_pairs,kept_ratio,current_median_ua,current_spread_ua,quality_label
frame,,1,,,,,,,108,0,1.000000,670.965000,308.988000,ok
frame,,2,,,,,,,108,0,1.000000,673.040000,316.011000,ok
frame,,3,,,,,,,108,0,1.000000,671.763500,310.266000,ok
frame,,4,,,,,,,108,0,1.000000,672.402000,310.904000,ok
frame,,5,,,,,,,108,0,1.000000,670.486500,312.181000,ok
frame,,6,,,,,,,108,0,1.000000,670.486500,311.542000,ok
frame,,7,,,,,,,108,0,1.000000,669.688000,311.224000,ok
frame,,8,,,,,,,108,0,1.000000,669.529000,312.180000,ok
frame,,9,,,,,,,108,0,1.000000,670.008000,312.181000,ok
frame,,10,,,,,,,108,0,1.000000,668.252000,312.181000,ok
pair,1,,E8,E9,E5,E6,0.000792578,0.001142177,,,,,,
pair,2,,E8,E9,E10,E11,0.000789324,0.001323906,,,,,,
pair,3,,E1,E2,E3,E4,0.000627577,0.000862846,,,,,,
pair,4,,E9,E10,E11,E12,0.000588251,0.000804068,,,,,,
pair,5,,E7,E8,E5,E6,0.000500700,0.000792721,,,,,,
pair,6,,E7,E8,E4,E5,0.000478046,0.000782369,,,,,,
pair,7,,E6,E7,E4,E5,0.000437200,0.000669010,,,,,,
pair,8,,E12,E1,E2,E3,0.000257491,0.000347158,,,,,,
pair,9,,E10,E11,E12,E1,0.000215917,0.000331190,,,,,,
pair,10,,E3,E4,E5,E6,0.000176385,0.000225944,,,,,,
pair,11,,E2,E3,E12,E1,0.000159797,0.000268705,,,,,,
pair,12,,E10,E11,E8,E9,0.000157291,0.000257866,,,,,,
pair,13,,E8,E9,E11,E12,0.000143895,0.000276224,,,,,,
pair,14,,E3,E4,E1,E2,0.000131436,0.000223017,,,,,,
pair,15,,E11,E12,E1,E2,0.000130044,0.000207617,,,,,,
pair,16,,E1,E2,E4,E5,0.000121488,0.000179509,,,,,,
pair,17,,E1,E2,E11,E12,0.000106910,0.000196652,,,,,,
