i_plus,i_minus,v_plus,v_minus,percent_error,sign_flipped,threshold_percent,status
E8,E9,E5,E6,97.3330,no,10.0000,FAIL
E4,E5,E7,E8,95.0097,no,10.0000,FAIL
E7,E8,E5,E6,94.8198,YES,10.0000,FAIL
E1,E2,E3,E4,91.7004,YES,10.0000,FAIL
E6,E7,E4,E5,91.6919,YES,10.0000,FAIL
E11,E12,E9,E10,91.1925,YES,10.0000,FAIL
E10,E11,E8,E9,90.1836,YES,10.0000,FAIL
E12,E1,E2,E3,88.0767,YES,10.0000,FAIL
E5,E6,E9,E10,87.4849,no,10.0000,FAIL
E5,E6,E10,E11,78.7032,YES,10.0000,FAIL
E4,E5,E8,E9,77.5012,no,10.0000,FAIL
E8,E9,E11,E12,75.3211,YES,10.0000,FAIL
E5,E6,E2,E3,73.5028,YES,10.0000,FAIL
E10,E11,E3,E4,73.3106,no,10.0000,FAIL
E2,E3,E10,E11,71.2968,no,10.0000,FAIL
E4,E5,E9,E10,71.2356,no,10.0000,FAIL
E5,E6,E3,E4,70.8856,YES,10.0000,FAIL
E11,E12,E2,E3,70.2414,no,10.0000,FAIL
E2,E3,E4,E5,69.1769,YES,10.0000,FAIL
E12,E1,E10,E11,68.4473,YES,10.0000,FAIL
E5,E6,E12,E1,67.1979,no,10.0000,FAIL
E7,E8,E11,E12,65.1132,YES,10.0000,FAIL
E10,E11,E4,E5,63.7292,YES,10.0000,FAIL
E11,E12,E3,E4,62.6610,no,10.0000,FAIL
E10,E11,E1,E2,61.3592,YES,10.0000,FAIL
E5,E6,E11,E12,59.4683,YES,10.0000,FAIL
E12,E1,E3,E4,59.1530,YES,10.0000,FAIL
E5,E6,E1,E2,58.5928,no,10.0000,FAIL
E11,E12,E6,E7,54.1069,YES,10.0000,FAIL
E11,E12,E1,E2,49.4049,YES,10.0000,FAIL
E3,E4,E9,E10,48.1243,YES,10.0000,FAIL
E10,E11,E7,E8,46.5421,YES,10.0000,FAIL
E11,E12,E4,E5,42.7389,YES,10.0000,FAIL
E12,E1,E4,E5,38.2084,no,10.0000,FAIL
E6,E7,E2,E3,35.0683,YES,10.0000,FAIL
E1,E2,E4,E5,34.9953,no,10.0000,FAIL
E6,E7,E10,E11,34.4795,YES,10.0000,FAIL
E6,E7,E3,E4,33.8280,YES,10.0000,FAIL
E9,E10,E2,E3,29.2240,YES,10.0000,FAIL
E3,E4,E7,E8,18.6494,YES,10.0000,FAIL
E2,E3,E7,E8,15.2428,YES,10.0000,FAIL
E9,E10,E12,E1,6.7555,no,10.0000,OK
E12,E1,E8,E9,3.7576,no,10.0000,OK
E9,E10,E1,E2,3.6626,no,10.0000,OK
E8,E9,E1,E2,3.4808,no,10.0000,OK
E1,E2,E6,E7,3.4794,no,10.0000,OK
E3,E4,E8,E9,3.0786,YES,10.0000,OK
E7,E8,E1,E2,2.4642,no,10.0000,OK
E8,E9,E2,E3,1.9805,YES,10.0000,OK
E6,E7,E12,E1,1.8428,no,10.0000,OK
E6,E7,E8,E9,1.4276,no,10.0000,OK
E12,E1,E7,E8,1.0783,no,10.0000,OK
E6,E7,E9,E10,0.1359,no,10.0000,OK
E9,E10,E7,E8,0.0849,no,10.0000,OK
