i_src,i_ret,v_plus,v_minus,R_kohm,R_reciprocal_kohm,error_percent,sign_flipped
8,9,5,6,0.308211,0.008332,97.297,no
4,5,7,8,0.013348,0.258938,94.845,no
7,8,5,6,-0.360261,0.018775,94.788,YES
11,12,9,10,0.029812,-0.469382,93.649,YES
1,2,3,4,-0.354902,0.027440,92.268,YES
6,7,4,5,-0.284240,0.024074,91.530,YES
10,11,8,9,0.051007,-0.429903,88.135,YES
12,1,2,3,-0.278984,0.033291,88.067,YES
5,6,9,10,0.005222,0.040640,87.151,no
5,6,10,11,-0.005249,0.026614,80.277,YES
8,9,11,12,-0.050056,0.009969,80.085,YES
4,5,8,9,0.007945,0.034597,77.035,no
12,1,10,11,-0.009951,0.040738,75.573,YES
2,3,10,11,-0.005106,-0.018965,73.076,no
5,6,2,3,-0.004813,0.017653,72.733,YES
5,6,3,4,-0.008770,0.029961,70.730,YES
11,12,2,3,-0.037277,-0.011201,69.951,no
4,5,9,10,0.006364,0.020491,68.940,no
5,6,12,1,0.002558,0.008183,68.737,no
2,3,4,5,0.052110,-0.016675,68.001,YES
7,8,11,12,-0.015728,0.005100,67.573,YES
10,11,4,5,0.018743,-0.006393,65.892,YES
12,1,3,4,-0.033453,0.012074,63.906,YES
10,11,3,4,-0.010914,-0.003956,63.752,no
10,11,1,2,0.018977,-0.006903,63.626,YES
11,12,3,4,-0.017156,-0.006389,62.761,no
11,12,6,7,0.002886,-0.006863,57.947,YES
5,6,1,2,0.004756,0.011226,57.636,no
5,6,11,12,-0.004562,0.010541,56.726,YES
11,12,1,2,0.037606,-0.019491,48.169,YES
10,11,7,8,0.015452,-0.026760,42.259,YES
12,1,4,5,0.013707,0.008401,38.712,no
11,12,4,5,0.011919,-0.007602,36.219,YES
6,7,2,3,-0.003261,0.005091,35.950,YES
6,7,3,4,-0.005126,0.007889,35.027,YES
1,2,4,5,0.024831,0.016764,32.490,no
6,7,10,11,-0.009401,0.006689,28.848,YES
9,10,2,3,-0.007005,0.005089,27.357,YES
3,4,9,10,0.004004,-0.005104,21.544,YES
3,4,7,8,0.005547,-0.004359,21.409,YES
2,3,7,8,0.004321,-0.003576,17.240,YES
3,4,8,9,0.003974,-0.003789,4.662,YES
8,9,2,3,-0.003909,0.003782,3.241,YES
9,10,1,2,0.007096,0.006874,3.139,no
8,9,1,2,0.003856,0.003974,2.977,no
6,7,12,1,0.002331,0.002397,2.758,no
6,7,9,10,0.009446,0.009207,2.530,no
12,1,7,8,0.003128,0.003052,2.432,no
12,1,8,9,0.004645,0.004542,2.215,no
9,10,12,1,0.009835,0.010022,1.864,no
1,2,6,7,0.003295,0.003235,1.822,no
9,10,7,8,0.026270,0.026735,1.738,no
7,8,1,2,0.003541,0.003481,1.709,no
6,7,8,9,0.018349,0.018352,0.018,no
