frame_index,frame_id,pattern,dac_code,settle_ms,sample_count,record_index,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality
0,6,adjacent,100,30,16,0,FWD,E1,E2,E3,E4,-16.828000,161.597000,OK
0,6,adjacent,100,30,16,1,REV,E2,E1,E3,E4,9.484000,177.078000,OK
0,6,adjacent,100,30,16,2,FWD,E1,E2,E4,E5,-85.758000,163.033000,OK
0,6,adjacent,100,30,16,3,REV,E2,E1,E4,E5,125.563000,176.440000,OK
0,6,adjacent,100,30,16,4,FWD,E1,E2,E5,E6,92.711000,164.469000,OK
0,6,adjacent,100,30,16,5,REV,E2,E1,E5,E6,-71.625000,176.839000,OK
0,6,adjacent,100,30,16,6,FWD,E1,E2,E6,E7,13.945000,164.390000,OK
0,6,adjacent,100,30,16,7,REV,E2,E1,E6,E7,15.156000,175.881000,OK
0,6,adjacent,100,30,16,8,FWD,E1,E2,E7,E8,-15.180000,165.746000,OK
0,6,adjacent,100,30,16,9,REV,E2,E1,E7,E8,-13.938000,175.881000,OK
0,6,adjacent,100,30,16,10,FWD,E1,E2,E8,E9,-45.375000,164.948000,OK
0,6,adjacent,100,30,16,11,REV,E2,E1,E8,E9,-44.102000,176.041000,OK
0,6,adjacent,100,30,16,12,FWD,E1,E2,E9,E10,2.461000,165.587000,OK
0,6,adjacent,100,30,16,13,REV,E2,E1,E9,E10,5.430000,176.599000,OK
0,6,adjacent,100,30,16,14,FWD,E1,E2,E10,E11,-44.477000,166.145000,OK
0,6,adjacent,100,30,16,15,REV,E2,E1,E10,E11,-47.781000,176.200000,OK
0,6,adjacent,100,30,16,16,FWD,E1,E2,E11,E12,-69.000000,166.145000,OK
0,6,adjacent,100,30,16,17,REV,E2,E1,E11,E12,-75.297000,176.918000,OK
0,6,adjacent,100,30,16,18,FWD,E2,E3,E4,E5,-10.289000,169.018000,OK
0,6,adjacent,100,30,16,19,REV,E3,E2,E4,E5,50.766000,176.120000,OK
0,6,adjacent,100,30,16,20,FWD,E2,E3,E5,E6,-80.414000,170.854000,OK
0,6,adjacent,100,30,16,21,REV,E3,E2,E5,E6,104.984000,174.764000,OK
0,6,adjacent,100,30,16,22,FWD,E2,E3,E6,E7,13.539000,171.652000,OK
0,6,adjacent,100,30,16,23,REV,E3,E2,E6,E7,15.578000,174.285000,OK
0,6,adjacent,100,30,16,24,FWD,E2,E3,E7,E8,-15.328000,172.769000,OK
0,6,adjacent,100,30,16,25,REV,E3,E2,E7,E8,-13.734000,174.205000,OK
0,6,adjacent,100,30,16,26,FWD,E2,E3,E8,E9,-45.500000,171.971000,OK
0,6,adjacent,100,30,16,27,REV,E3,E2,E8,E9,-44.195000,174.524000,OK
0,6,adjacent,100,30,16,28,FWD,E2,E3,E9,E10,2.797000,171.971000,OK
0,6,adjacent,100,30,16,29,REV,E3,E2,E9,E10,4.992000,174.445000,OK
0,6,adjacent,100,30,16,30,FWD,E2,E3,E10,E11,-41.430000,172.051000,OK
0,6,adjacent,100,30,16,31,REV,E3,E2,E10,E11,-48.016000,173.806000,OK
0,6,adjacent,100,30,16,32,FWD,E2,E3,E11,E12,-66.047000,174.046000,OK
0,6,adjacent,100,30,16,33,REV,E3,E2,E11,E12,-73.547000,174.125000,OK
0,6,adjacent,100,30,16,34,FWD,E2,E3,E12,E1,-35.164000,172.210000,OK
0,6,adjacent,100,30,16,35,REV,E3,E2,E12,E1,-18.664000,174.125000,OK
0,6,adjacent,100,30,16,36,FWD,E3,E4,E1,E2,8.742000,192.799000,OK
0,6,adjacent,100,30,16,37,REV,E4,E3,E1,E2,22.203000,172.529000,OK
0,6,adjacent,100,30,16,38,FWD,E3,E4,E5,E6,-9.930000,195.193000,OK
0,6,adjacent,100,30,16,39,REV,E4,E3,E5,E6,33.688000,170.774000,OK
0,6,adjacent,100,30,16,40,FWD,E3,E4,E6,E7,12.625000,195.991000,OK
0,6,adjacent,100,30,16,41,REV,E4,E3,E6,E7,16.195000,171.332000,OK
0,6,adjacent,100,30,16,42,FWD,E3,E4,E7,E8,-15.781000,195.352000,OK
0,6,adjacent,100,30,16,43,REV,E4,E3,E7,E8,-13.422000,171.731000,OK
0,6,adjacent,100,30,16,44,FWD,E3,E4,E8,E9,-45.727000,195.033000,OK
0,6,adjacent,100,30,16,45,REV,E4,E3,E8,E9,-44.242000,171.412000,OK
0,6,adjacent,100,30,16,46,FWD,E3,E4,E9,E10,2.898000,196.310000,OK
0,6,adjacent,100,30,16,47,REV,E4,E3,E9,E10,4.727000,171.572000,OK
0,6,adjacent,100,30,16,48,FWD,E3,E4,E10,E11,-49.063000,195.512000,OK
0,6,adjacent,100,30,16,49,REV,E4,E3,E10,E11,-47.023000,170.215000,OK
0,6,adjacent,100,30,16,50,FWD,E3,E4,E11,E12,-78.844000,194.874000,OK
0,6,adjacent,100,30,16,51,REV,E4,E3,E11,E12,-73.930000,172.210000,OK
0,6,adjacent,100,30,16,52,FWD,E3,E4,E12,E1,-30.398000,195.831000,OK
0,6,adjacent,100,30,16,53,REV,E4,E3,E12,E1,-24.766000,171.492000,OK
0,6,adjacent,100,30,16,54,FWD,E4,E5,E1,E2,9.977000,177.876000,OK
0,6,adjacent,100,30,16,55,REV,E5,E4,E1,E2,19.633000,197.986000,OK
0,6,adjacent,100,30,16,56,FWD,E4,E5,E2,E3,30.023000,180.270000,OK
0,6,adjacent,100,30,16,57,REV,E5,E4,E2,E3,-7.437000,196.789000,OK
0,6,adjacent,100,30,16,58,FWD,E4,E5,E6,E7,7.461000,181.387000,OK
0,6,adjacent,100,30,16,59,REV,E5,E4,E6,E7,22.164000,197.188000,OK
0,6,adjacent,100,30,16,60,FWD,E4,E5,E7,E8,-17.984000,181.866000,OK
0,6,adjacent,100,30,16,61,REV,E5,E4,E7,E8,-10.727000,197.347000,OK
0,6,adjacent,100,30,16,62,FWD,E4,E5,E8,E9,-46.789000,181.786000,OK
0,6,adjacent,100,30,16,63,REV,E5,E4,E8,E9,-43.047000,196.150000,OK
0,6,adjacent,100,30,16,64,FWD,E4,E5,E9,E10,2.125000,182.345000,OK
0,6,adjacent,100,30,16,65,REV,E5,E4,E9,E10,5.727000,196.869000,OK
0,6,adjacent,100,30,16,66,FWD,E4,E5,E10,E11,-45.992000,182.026000,OK
0,6,adjacent,100,30,16,67,REV,E5,E4,E10,E11,-51.289000,196.629000,OK
0,6,adjacent,100,30,16,68,FWD,E4,E5,E11,E12,-75.250000,181.706000,OK
0,6,adjacent,100,30,16,69,REV,E5,E4,E11,E12,-80.750000,196.310000,OK
0,6,adjacent,100,30,16,70,FWD,E4,E5,E12,E1,-29.969000,182.345000,OK
0,6,adjacent,100,30,16,71,REV,E5,E4,E12,E1,-25.102000,195.911000,OK
0,6,adjacent,100,30,16,72,FWD,E5,E6,E1,E2,13.602000,186.495000,OK
0,6,adjacent,100,30,16,73,REV,E6,E5,E1,E2,15.859000,202.854000,OK
0,6,adjacent,100,30,16,74,FWD,E5,E6,E2,E3,23.844000,188.809000,OK
0,6,adjacent,100,30,16,75,REV,E6,E5,E2,E3,-0.133000,201.896000,OK
0,6,adjacent,100,30,16,76,FWD,E5,E6,E3,E4,4.812000,189.288000,OK
0,6,adjacent,100,30,16,77,REV,E6,E5,E3,E4,-12.922000,200.859000,OK
0,6,adjacent,100,30,16,78,FWD,E5,E6,E7,E8,-19.695000,190.086000,OK
0,6,adjacent,100,30,16,79,REV,E6,E5,E7,E8,-9.086000,200.539000,OK
0,6,adjacent,100,30,16,80,FWD,E5,E6,E8,E9,-46.828000,191.362000,OK
0,6,adjacent,100,30,16,81,REV,E6,E5,E8,E9,-43.148000,200.300000,OK
0,6,adjacent,100,30,16,82,FWD,E5,E6,E9,E10,2.617000,190.405000,OK
0,6,adjacent,100,30,16,83,REV,E6,E5,E9,E10,5.187000,200.619000,OK
0,6,adjacent,100,30,16,84,FWD,E5,E6,E10,E11,-40.109000,190.564000,OK
0,6,adjacent,100,30,16,85,REV,E6,E5,E10,E11,-52.109000,199.821000,OK
0,6,adjacent,100,30,16,86,FWD,E5,E6,E11,E12,-67.352000,190.963000,OK
0,6,adjacent,100,30,16,87,REV,E6,E5,E11,E12,-79.656000,200.460000,OK
0,6,adjacent,100,30,16,88,FWD,E5,E6,E12,E1,-28.312000,191.602000,OK
0,6,adjacent,100,30,16,89,REV,E6,E5,E12,E1,-27.062000,200.220000,OK
0,6,adjacent,100,30,16,90,FWD,E6,E7,E1,E2,14.148000,183.302000,OK
0,6,adjacent,100,30,16,91,REV,E7,E6,E1,E2,15.484000,203.891000,OK
0,6,adjacent,100,30,16,92,FWD,E6,E7,E2,E3,80.094000,185.936000,OK
0,6,adjacent,100,30,16,93,REV,E7,E6,E2,E3,-58.531000,202.295000,OK
0,6,adjacent,100,30,16,94,FWD,E6,E7,E3,E4,7.008000,187.931000,OK
0,6,adjacent,100,30,16,95,REV,E7,E6,E3,E4,-15.430000,201.816000,OK
0,6,adjacent,100,30,16,96,FWD,E6,E7,E4,E5,19.344000,188.250000,OK
0,6,adjacent,100,30,16,97,REV,E7,E6,E4,E5,11.906000,201.098000,OK
0,6,adjacent,100,30,16,98,FWD,E6,E7,E8,E9,-49.320000,188.170000,OK
0,6,adjacent,100,30,16,99,REV,E7,E6,E8,E9,-40.484000,201.577000,OK
0,6,adjacent,100,30,16,100,FWD,E6,E7,E9,E10,1.633000,188.729000,OK
0,6,adjacent,100,30,16,101,REV,E7,E6,E9,E10,6.195000,202.295000,OK
0,6,adjacent,100,30,16,102,FWD,E6,E7,E10,E11,-27.336000,188.330000,OK
0,6,adjacent,100,30,16,103,REV,E7,E6,E10,E11,-52.906000,201.018000,OK
0,6,adjacent,100,30,16,104,FWD,E6,E7,E11,E12,-61.430000,189.607000,OK
0,6,adjacent,100,30,16,105,REV,E7,E6,E11,E12,-82.539000,200.380000,OK
0,6,adjacent,100,30,16,106,FWD,E6,E7,E12,E1,-28.305000,188.649000,OK
0,6,adjacent,100,30,16,107,REV,E7,E6,E12,E1,-27.258000,200.380000,OK
0,6,adjacent,100,30,16,108,FWD,E7,E8,E1,E2,14.148000,195.751000,OK
