frame_index,frame_id,pattern,dac_code,settle_ms,sample_count,record_index,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality
0,6,adjacent,400,30,16,0,FWD,E1,E2,E3,E4,-5.414000,124.968000,OK
0,6,adjacent,400,30,16,1,REV,E2,E1,E3,E4,3.555000,295.901000,OK
0,6,adjacent,400,30,16,2,FWD,E1,E2,E4,E5,-12.609000,239.562000,OK
0,6,adjacent,400,30,16,3,REV,E2,E1,E4,E5,-6.867000,262.465000,OK
0,6,adjacent,400,30,16,4,FWD,E1,E2,E5,E6,-45.555000,252.490000,OK
0,6,adjacent,400,30,16,5,REV,E2,E1,E5,E6,-41.617000,257.677000,OK
0,6,adjacent,400,30,16,6,FWD,E1,E2,E6,E7,9.930000,254.804000,OK
0,6,adjacent,400,30,16,7,REV,E2,E1,E6,E7,13.250000,256.320000,OK
0,6,adjacent,400,30,16,8,FWD,E1,E2,E7,E8,16.586000,256.799000,OK
0,6,adjacent,400,30,16,9,REV,E2,E1,E7,E8,20.750000,254.804000,OK
0,6,adjacent,400,30,16,10,FWD,E1,E2,E8,E9,31.477000,258.156000,OK
0,6,adjacent,400,30,16,11,REV,E2,E1,E8,E9,36.883000,255.043000,OK
0,6,adjacent,400,30,16,12,FWD,E1,E2,E9,E10,-22.758000,257.996000,OK
0,6,adjacent,400,30,16,13,REV,E2,E1,E9,E10,-18.367000,255.442000,OK
0,6,adjacent,400,30,16,14,FWD,E1,E2,E10,E11,31.891000,257.437000,OK
0,6,adjacent,400,30,16,15,REV,E2,E1,E10,E11,37.703000,255.283000,OK
0,6,adjacent,400,30,16,16,FWD,E1,E2,E11,E12,-2.484000,258.156000,OK
0,6,adjacent,400,30,16,17,REV,E2,E1,E11,E12,8.922000,255.043000,OK
0,6,adjacent,400,30,16,18,FWD,E2,E3,E4,E5,-13.648000,125.447000,OK
0,6,adjacent,400,30,16,19,REV,E3,E2,E4,E5,-2.688000,294.385000,OK
0,6,adjacent,400,30,16,20,FWD,E2,E3,E5,E6,-47.609000,221.128000,OK
0,6,adjacent,400,30,16,21,REV,E3,E2,E5,E6,-41.469000,257.198000,OK
0,6,adjacent,400,30,16,22,FWD,E2,E3,E6,E7,9.617000,235.412000,OK
0,6,adjacent,400,30,16,23,REV,E3,E2,E6,E7,14.000000,249.777000,OK
0,6,adjacent,400,30,16,24,FWD,E2,E3,E7,E8,15.773000,239.083000,OK
0,6,adjacent,400,30,16,25,REV,E3,E2,E7,E8,20.273000,248.181000,OK
0,6,adjacent,400,30,16,26,FWD,E2,E3,E8,E9,32.922000,240.679000,OK
