frame_index,frame_id,pattern,dac_code,settle_ms,sample_count,record_index,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality
0,6,adjacent,400,30,16,0,FWD,E1,E2,E3,E4,4.016000,111.402000,OK
0,6,adjacent,400,30,16,1,REV,E2,E1,E3,E4,12.984000,276.989000,OK
0,6,adjacent,400,30,16,2,FWD,E1,E2,E4,E5,-7.891000,225.677000,OK
0,6,adjacent,400,30,16,3,REV,E2,E1,E4,E5,-2.188000,246.505000,OK
0,6,adjacent,400,30,16,4,FWD,E1,E2,E5,E6,-39.078000,237.647000,OK
0,6,adjacent,400,30,16,5,REV,E2,E1,E5,E6,-35.195000,241.158000,OK
0,6,adjacent,400,30,16,6,FWD,E1,E2,E6,E7,5.359000,240.679000,OK
0,6,adjacent,400,30,16,7,REV,E2,E1,E6,E7,8.828000,240.041000,OK
0,6,adjacent,400,30,16,8,FWD,E1,E2,E7,E8,15.820000,241.318000,OK
0,6,adjacent,400,30,16,9,REV,E2,E1,E7,E8,19.266000,239.163000,OK
0,6,adjacent,400,30,16,10,FWD,E1,E2,E8,E9,40.352000,242.355000,OK
0,6,adjacent,400,30,16,11,REV,E2,E1,E8,E9,44.008000,239.083000,OK
0,6,adjacent,400,30,16,12,FWD,E1,E2,E9,E10,-40.516000,242.834000,OK
0,6,adjacent,400,30,16,13,REV,E2,E1,E9,E10,-36.523000,239.402000,OK
0,6,adjacent,400,30,16,14,FWD,E1,E2,E10,E11,22.773000,242.195000,OK
0,6,adjacent,400,30,16,15,REV,E2,E1,E10,E11,28.945000,239.402000,OK
0,6,adjacent,400,30,16,16,FWD,E1,E2,E11,E12,-6.055000,242.754000,OK
0,6,adjacent,400,30,16,17,REV,E2,E1,E11,E12,5.180000,239.003000,OK
0,6,adjacent,400,30,16,18,FWD,E2,E3,E4,E5,-8.773000,117.148000,OK
0,6,adjacent,400,30,16,19,REV,E3,E2,E4,E5,1.609000,281.457000,OK
0,6,adjacent,400,30,16,20,FWD,E2,E3,E5,E6,-40.805000,210.195000,OK
0,6,adjacent,400,30,16,21,REV,E3,E2,E5,E6,-34.734000,244.749000,OK
0,6,adjacent,400,30,16,22,FWD,E2,E3,E6,E7,4.734000,222.884000,OK
0,6,adjacent,400,30,16,23,REV,E3,E2,E6,E7,9.289000,237.966000,OK
0,6,adjacent,400,30,16,24,FWD,E2,E3,E7,E8,14.672000,226.555000,OK
0,6,adjacent,400,30,16,25,REV,E3,E2,E7,E8,18.539000,235.971000,OK
0,6,adjacent,400,30,16,26,FWD,E2,E3,E8,E9,42.375000,228.230000,OK
0,6,adjacent,400,30,16,27,REV,E3,E2,E8,E9,45.992000,235.093000,OK
0,6,adjacent,400,30,16,28,FWD,E2,E3,E9,E10,-41.375000,228.789000,OK
0,6,adjacent,400,30,16,29,REV,E3,E2,E9,E10,-38.055000,234.614000,OK
0,6,adjacent,400,30,16,30,FWD,E2,E3,E10,E11,20.711000,229.108000,OK
0,6,adjacent,400,30,16,31,REV,E3,E2,E10,E11,25.180000,234.694000,OK
0,6,adjacent,400,30,16,32,FWD,E2,E3,E11,E12,-5.625000,229.188000,OK
0,6,adjacent,400,30,16,33,REV,E3,E2,E11,E12,0.727000,234.614000,OK
0,6,adjacent,400,30,16,34,FWD,E2,E3,E12,E1,-0.734000,229.507000,OK
0,6,adjacent,400,30,16,35,REV,E3,E2,E12,E1,11.859000,234.295000,OK
0,6,adjacent,400,30,16,36,FWD,E3,E4,E1,E2,11.922000,96.080000,OK
0,6,adjacent,400,30,16,37,REV,E4,E3,E1,E2,11.438000,260.869000,OK
0,6,adjacent,400,30,16,38,FWD,E3,E4,E5,E6,-43.500000,204.290000,OK
0,6,adjacent,400,30,16,39,REV,E4,E3,E5,E6,-30.922000,229.906000,OK
0,6,adjacent,400,30,16,40,FWD,E3,E4,E6,E7,3.969000,216.180000,OK
0,6,adjacent,400,30,16,41,REV,E4,E3,E6,E7,10.016000,225.278000,OK
0,6,adjacent,400,30,16,42,FWD,E3,E4,E7,E8,13.664000,219.372000,OK
0,6,adjacent,400,30,16,43,REV,E4,E3,E7,E8,17.883000,224.001000,OK
0,6,adjacent,400,30,16,44,FWD,E3,E4,E8,E9,44.844000,220.330000,OK
0,6,adjacent,400,30,16,45,REV,E4,E3,E8,E9,48.234000,223.682000,OK
0,6,adjacent,400,30,16,46,FWD,E3,E4,E9,E10,-42.344000,221.527000,OK
0,6,adjacent,400,30,16,47,REV,E4,E3,E9,E10,-39.625000,223.043000,OK
0,6,adjacent,400,30,16,48,FWD,E3,E4,E10,E11,19.594000,221.766000,OK
0,6,adjacent,400,30,16,49,REV,E4,E3,E10,E11,22.758000,223.043000,OK
0,6,adjacent,400,30,16,50,FWD,E3,E4,E11,E12,-4.523000,222.405000,OK
0,6,adjacent,400,30,16,51,REV,E4,E3,E11,E12,-0.812000,223.362000,OK
0,6,adjacent,400,30,16,52,FWD,E3,E4,E12,E1,-2.781000,222.564000,OK
0,6,adjacent,400,30,16,53,REV,E4,E3,E12,E1,2.727000,223.442000,OK
0,6,adjacent,400,30,16,54,FWD,E4,E5,E1,E2,-17.344000,110.524000,OK
0,6,adjacent,400,30,16,55,REV,E5,E4,E1,E2,-12.875000,273.318000,OK
0,6,adjacent,400,30,16,56,FWD,E4,E5,E2,E3,50.133000,216.579000,OK
0,6,adjacent,400,30,16,57,REV,E5,E4,E2,E3,57.219000,241.956000,OK
0,6,adjacent,400,30,16,58,FWD,E4,E5,E6,E7,0.711000,228.789000,OK
0,6,adjacent,400,30,16,59,REV,E5,E4,E6,E7,13.297000,237.168000,OK
0,6,adjacent,400,30,16,60,FWD,E4,E5,E7,E8,11.773000,231.821000,OK
0,6,adjacent,400,30,16,61,REV,E5,E4,E7,E8,18.258000,236.370000,OK
0,6,adjacent,400,30,16,62,FWD,E4,E5,E8,E9,46.586000,233.258000,OK
0,6,adjacent,400,30,16,63,REV,E5,E4,E8,E9,50.938000,235.891000,OK
0,6,adjacent,400,30,16,64,FWD,E4,E5,E9,E10,-43.813000,233.657000,OK
0,6,adjacent,400,30,16,65,REV,E5,E4,E9,E10,-40.813000,235.891000,OK
0,6,adjacent,400,30,16,66,FWD,E4,E5,E10,E11,18.461000,233.816000,OK
0,6,adjacent,400,30,16,67,REV,E5,E4,E10,E11,21.578000,235.572000,OK
0,6,adjacent,400,30,16,68,FWD,E4,E5,E11,E12,-4.172000,234.934000,OK
0,6,adjacent,400,30,16,69,REV,E5,E4,E11,E12,-0.953000,235.253000,OK
0,6,adjacent,400,30,16,70,FWD,E4,E5,E12,E1,-5.461000,234.295000,OK
0,6,adjacent,400,30,16,71,REV,E5,E4,E12,E1,-1.375000,235.891000,OK
0,6,adjacent,400,30,16,72,FWD,E5,E6,E1,E2,-19.680000,128.320000,OK
0,6,adjacent,400,30,16,73,REV,E6,E5,E1,E2,-15.938000,289.677000,OK
0,6,adjacent,400,30,16,74,FWD,E5,E6,E2,E3,33.266000,236.290000,OK
0,6,adjacent,400,30,16,75,REV,E6,E5,E2,E3,39.867000,258.794000,OK
0,6,adjacent,400,30,16,76,FWD,E5,E6,E3,E4,11.938000,249.537000,OK
0,6,adjacent,400,30,16,77,REV,E6,E5,E3,E4,24.187000,253.687000,OK
0,6,adjacent,400,30,16,78,FWD,E5,E6,E7,E8,7.594000,252.889000,OK
0,6,adjacent,400,30,16,79,REV,E6,E5,E7,E8,21.531000,252.171000,OK
0,6,adjacent,400,30,16,80,FWD,E5,E6,E8,E9,47.477000,254.166000,OK
0,6,adjacent,400,30,16,81,REV,E6,E5,E8,E9,54.477000,251.931000,OK
0,6,adjacent,400,30,16,82,FWD,E5,E6,E9,E10,-45.578000,254.644000,OK
0,6,adjacent,400,30,16,83,REV,E6,E5,E9,E10,-41.477000,251.213000,OK
0,6,adjacent,400,30,16,84,FWD,E5,E6,E10,E11,17.398000,254.964000,OK
0,6,adjacent,400,30,16,85,REV,E6,E5,E10,E11,21.164000,251.133000,OK
0,6,adjacent,400,30,16,86,FWD,E5,E6,E11,E12,-4.039000,255.522000,OK
0,6,adjacent,400,30,16,87,REV,E6,E5,E11,E12,-0.672000,251.532000,OK
0,6,adjacent,400,30,16,88,FWD,E5,E6,E12,E1,-7.867000,255.363000,OK
0,6,adjacent,400,30,16,89,REV,E6,E5,E12,E1,-4.180000,251.373000,OK
0,6,adjacent,400,30,16,90,FWD,E6,E7,E1,E2,-19.922000,150.664000,OK
0,6,adjacent,400,30,16,91,REV,E7,E6,E1,E2,-16.234000,316.889000,OK
0,6,adjacent,400,30,16,92,FWD,E6,E7,E2,E3,31.797000,245.467000,OK
0,6,adjacent,400,30,16,93,REV,E7,E6,E2,E3,37.242000,280.181000,OK
0,6,adjacent,400,30,16,94,FWD,E6,E7,E3,E4,3.039000,261.108000,OK
0,6,adjacent,400,30,16,95,REV,E7,E6,E3,E4,11.008000,272.121000,OK
0,6,adjacent,400,30,16,96,FWD,E6,E7,E4,E5,0.312000,264.939000,OK
0,6,adjacent,400,30,16,97,REV,E7,E6,E4,E5,14.914000,270.525000,OK
0,6,adjacent,400,30,16,98,FWD,E6,E7,E8,E9,45.680000,266.774000,OK
0,6,adjacent,400,30,16,99,REV,E7,E6,E8,E9,60.547000,269.009000,OK
0,6,adjacent,400,30,16,100,FWD,E6,E7,E9,E10,-48.094000,267.014000,OK
0,6,adjacent,400,30,16,101,REV,E7,E6,E9,E10,-41.359000,268.849000,OK
0,6,adjacent,400,30,16,102,FWD,E6,E7,E10,E11,16.023000,267.891000,OK
0,6,adjacent,400,30,16,103,REV,E7,E6,E10,E11,21.297000,269.088000,OK
0,6,adjacent,400,30,16,104,FWD,E6,E7,E11,E12,-4.219000,267.652000,OK
0,6,adjacent,400,30,16,105,REV,E7,E6,E11,E12,-0.117000,268.849000,OK
0,6,adjacent,400,30,16,106,FWD,E6,E7,E12,E1,-10.289000,267.732000,OK
0,6,adjacent,400,30,16,107,REV,E7,E6,E12,E1,-6.312000,269.009000,OK
0,6,adjacent,400,30,16,108,FWD,E7,E8,E1,E2,-19.391000,123.452000,OK
0,6,adjacent,400,30,16,109,REV,E8,E7,E1,E2,-16.102000,296.380000,OK
0,6,adjacent,400,30,16,110,FWD,E7,E8,E2,E3,31.805000,225.757000,OK
0,6,adjacent,400,30,16,111,REV,E8,E7,E2,E3,36.023000,259.911000,OK
0,6,adjacent,400,30,16,112,FWD,E7,E8,E3,E4,3.500000,241.318000,OK
0,6,adjacent,400,30,16,113,REV,E8,E7,E3,E4,8.523000,252.171000,OK
0,6,adjacent,400,30,16,114,FWD,E7,E8,E4,E5,-4.594000,244.829000,OK
0,6,adjacent,400,30,16,115,REV,E8,E7,E4,E5,2.578000,249.936000,OK
0,6,adjacent,400,30,16,116,FWD,E7,E8,E5,E6,-32.602000,246.186000,OK
0,6,adjacent,400,30,16,117,REV,E8,E7,E5,E6,-19.570000,249.777000,OK
0,6,adjacent,400,30,16,118,FWD,E7,E8,E9,E10,-52.563000,246.664000,OK
0,6,adjacent,400,30,16,119,REV,E8,E7,E9,E10,-38.453000,249.058000,OK
0,6,adjacent,400,30,16,120,FWD,E7,E8,E10,E11,14.195000,247.143000,OK
0,6,adjacent,400,30,16,121,REV,E8,E7,E10,E11,22.250000,249.058000,OK
0,6,adjacent,400,30,16,122,FWD,E7,E8,E11,E12,-4.445000,247.303000,OK
0,6,adjacent,400,30,16,123,REV,E8,E7,E11,E12,0.594000,249.218000,OK
0,6,adjacent,400,30,16,124,FWD,E7,E8,E12,E1,-12.367000,247.462000,OK
0,6,adjacent,400,30,16,125,REV,E8,E7,E12,E1,-8.313000,248.979000,OK
0,6,adjacent,400,30,16,126,FWD,E8,E9,E1,E2,-18.461000,88.180000,OK
0,6,adjacent,400,30,16,127,REV,E9,E8,E1,E2,-15.688000,265.258000,OK
0,6,adjacent,400,30,16,128,FWD,E8,E9,E2,E3,32.180000,196.549000,OK
0,6,adjacent,400,30,16,129,REV,E9,E8,E2,E3,35.313000,229.747000,OK
0,6,adjacent,400,30,16,130,FWD,E8,E9,E3,E4,4.227000,210.116000,OK
0,6,adjacent,400,30,16,131,REV,E9,E8,E3,E4,7.430000,224.240000,OK
0,6,adjacent,400,30,16,132,FWD,E8,E9,E4,E5,-4.937000,213.946000,OK
0,6,adjacent,400,30,16,133,REV,E9,E8,E4,E5,-1.023000,222.564000,OK
0,6,adjacent,400,30,16,134,FWD,E8,E9,E5,E6,-33.875000,214.983000,OK
0,6,adjacent,400,30,16,135,REV,E9,E8,E5,E6,-28.375000,221.607000,OK
0,6,adjacent,400,30,16,136,FWD,E8,E9,E6,E7,8.023000,215.702000,OK
0,6,adjacent,400,30,16,137,REV,E9,E8,E6,E7,18.641000,221.288000,OK
0,6,adjacent,400,30,16,138,FWD,E8,E9,E10,E11,15.109000,216.659000,OK
0,6,adjacent,400,30,16,139,REV,E9,E8,E10,E11,30.008000,221.048000,OK
0,6,adjacent,400,30,16,140,FWD,E8,E9,E11,E12,-4.125000,216.978000,OK
0,6,adjacent,400,30,16,141,REV,E9,E8,E11,E12,1.867000,221.208000,OK
0,6,adjacent,400,30,16,142,FWD,E8,E9,E12,E1,-14.180000,217.058000,OK
0,6,adjacent,400,30,16,143,REV,E9,E8,E12,E1,-10.148000,221.527000,OK
0,6,adjacent,400,30,16,144,FWD,E9,E10,E1,E2,-17.961000,110.365000,OK
0,6,adjacent,400,30,16,145,REV,E10,E9,E1,E2,-14.586000,268.051000,OK
0,6,adjacent,400,30,16,146,FWD,E9,E10,E2,E3,32.086000,216.739000,OK
0,6,adjacent,400,30,16,147,REV,E10,E9,E2,E3,35.328000,239.003000,OK
0,6,adjacent,400,30,16,148,FWD,E9,E10,E3,E4,4.437000,227.592000,OK
0,6,adjacent,400,30,16,149,REV,E10,E9,E3,E4,7.359000,234.614000,OK
0,6,adjacent,400,30,16,150,FWD,E9,E10,E4,E5,-5.414000,230.545000,OK
0,6,adjacent,400,30,16,151,REV,E10,E9,E4,E5,-2.375000,234.375000,OK
0,6,adjacent,400,30,16,152,FWD,E9,E10,E5,E6,-34.859000,231.422000,OK
0,6,adjacent,400,30,16,153,REV,E10,E9,E5,E6,-31.266000,233.018000,OK
0,6,adjacent,400,30,16,154,FWD,E9,E10,E6,E7,6.492000,232.141000,OK
0,6,adjacent,400,30,16,155,REV,E10,E9,E6,E7,11.914000,233.577000,OK
0,6,adjacent,400,30,16,156,FWD,E9,E10,E7,E8,22.664000,233.258000,OK
0,6,adjacent,400,30,16,157,REV,E10,E9,E7,E8,34.703000,233.417000,OK
0,6,adjacent,400,30,16,158,FWD,E9,E10,E11,E12,0.734000,233.338000,OK
0,6,adjacent,400,30,16,159,REV,E10,E9,E11,E12,15.539000,233.338000,OK
0,6,adjacent,400,30,16,160,FWD,E9,E10,E12,E1,-16.766000,233.976000,OK
0,6,adjacent,400,30,16,161,REV,E10,E9,E12,E1,-10.773000,233.497000,OK
0,6,adjacent,400,30,16,162,FWD,E10,E11,E1,E2,-17.883000,128.719000,OK
0,6,adjacent,400,30,16,163,REV,E11,E10,E1,E2,-12.305000,281.218000,OK
0,6,adjacent,400,30,16,164,FWD,E10,E11,E2,E3,31.469000,226.794000,OK
0,6,adjacent,400,30,16,165,REV,E11,E10,E2,E3,36.117000,251.532000,OK
0,6,adjacent,400,30,16,166,FWD,E10,E11,E3,E4,4.281000,237.966000,OK
0,6,adjacent,400,30,16,167,REV,E11,E10,E3,E4,7.859000,246.984000,OK
0,6,adjacent,400,30,16,168,FWD,E10,E11,E4,E5,-6.117000,241.158000,OK
