frame_index,frame_id,pattern,dac_code,settle_ms,sample_count,record_index,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality
0,6,adjacent,500,30,16,0,FWD,E1,E2,E3,E4,-4.625000,299.173000,OK
0,6,adjacent,500,30,16,1,REV,E2,E1,E3,E4,20.625000,304.440000,OK
0,6,adjacent,500,30,16,2,FWD,E1,E2,E4,E5,-7.633000,304.281000,OK
0,6,adjacent,500,30,16,3,REV,E2,E1,E4,E5,8.766000,302.046000,OK
0,6,adjacent,500,30,16,4,FWD,E1,E2,E5,E6,-2.648000,304.360000,OK
0,6,adjacent,500,30,16,5,REV,E2,E1,E5,E6,1.023000,302.445000,OK
0,6,adjacent,500,30,16,6,FWD,E1,E2,E6,E7,20.156000,305.637000,OK
0,6,adjacent,500,30,16,7,REV,E2,E1,E6,E7,22.492000,301.887000,OK
0,6,adjacent,500,30,16,8,FWD,E1,E2,E7,E8,-3.141000,305.557000,OK
0,6,adjacent,500,30,16,9,REV,E2,E1,E7,E8,-0.828000,302.285000,OK
0,6,adjacent,500,30,16,10,FWD,E1,E2,E8,E9,-30.789000,305.956000,OK
0,6,adjacent,500,30,16,11,REV,E2,E1,E8,E9,-28.461000,301.408000,OK
0,6,adjacent,500,30,16,12,FWD,E1,E2,E9,E10,-44.281000,305.877000,OK
0,6,adjacent,500,30,16,13,REV,E2,E1,E9,E10,-38.422000,302.046000,OK
0,6,adjacent,500,30,16,14,FWD,E1,E2,E10,E11,16.664000,306.036000,OK
0,6,adjacent,500,30,16,15,REV,E2,E1,E10,E11,32.867000,301.088000,OK
0,6,adjacent,500,30,16,16,FWD,E1,E2,E11,E12,5.703000,306.116000,OK
0,6,adjacent,500,30,16,17,REV,E2,E1,E11,E12,43.016000,301.567000,OK
0,6,adjacent,500,30,16,18,FWD,E2,E3,E4,E5,-19.461000,303.403000,OK
0,6,adjacent,500,30,16,19,REV,E3,E2,E4,E5,20.625000,305.956000,OK
0,6,adjacent,500,30,16,20,FWD,E2,E3,E5,E6,-4.500000,306.515000,OK
0,6,adjacent,500,30,16,21,REV,E3,E2,E5,E6,2.758000,305.318000,OK
0,6,adjacent,500,30,16,22,FWD,E2,E3,E6,E7,19.391000,307.951000,OK
0,6,adjacent,500,30,16,23,REV,E3,E2,E6,E7,23.281000,304.041000,OK
0,6,adjacent,500,30,16,24,FWD,E2,E3,E7,E8,-3.539000,308.670000,OK
0,6,adjacent,500,30,16,25,REV,E3,E2,E7,E8,-0.461000,305.078000,OK
0,6,adjacent,500,30,16,26,FWD,E2,E3,E8,E9,-30.852000,307.951000,OK
0,6,adjacent,500,30,16,27,REV,E3,E2,E8,E9,-28.484000,304.281000,OK
0,6,adjacent,500,30,16,28,FWD,E2,E3,E9,E10,-43.570000,308.590000,OK
0,6,adjacent,500,30,16,29,REV,E3,E2,E9,E10,-39.227000,304.919000,OK
0,6,adjacent,500,30,16,30,FWD,E2,E3,E10,E11,20.086000,308.271000,OK
0,6,adjacent,500,30,16,31,REV,E3,E2,E10,E11,29.398000,303.882000,OK
0,6,adjacent,500,30,16,32,FWD,E2,E3,E11,E12,16.680000,308.590000,OK
0,6,adjacent,500,30,16,33,REV,E3,E2,E11,E12,31.914000,304.759000,OK
0,6,adjacent,500,30,16,34,FWD,E2,E3,E12,E1,-7.859000,308.909000,OK
0,6,adjacent,500,30,16,35,REV,E3,E2,E12,E1,22.453000,303.483000,OK
0,6,adjacent,500,30,16,36,FWD,E3,E4,E1,E2,-17.422000,327.981000,OK
0,6,adjacent,500,30,16,37,REV,E4,E3,E1,E2,9.594000,346.974000,OK
0,6,adjacent,500,30,16,38,FWD,E3,E4,E5,E6,-9.008000,333.248000,OK
0,6,adjacent,500,30,16,39,REV,E4,E3,E5,E6,7.508000,344.101000,OK
0,6,adjacent,500,30,16,40,FWD,E3,E4,E6,E7,17.719000,334.605000,OK
0,6,adjacent,500,30,16,41,REV,E4,E3,E6,E7,25.117000,344.420000,OK
0,6,adjacent,500,30,16,42,FWD,E3,E4,E7,E8,-4.375000,334.126000,OK
0,6,adjacent,500,30,16,43,REV,E4,E3,E7,E8,0.469000,343.383000,OK
