frame_index,frame_id,pattern,dac_code,settle_ms,sample_count,record_index,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality
0,6,adjacent,500,30,32,0,FWD,E1,E2,E3,E4,-4.508000,297.059000,OK
0,6,adjacent,500,30,32,1,REV,E2,E1,E3,E4,20.602000,305.238000,OK
0,6,adjacent,500,30,32,2,FWD,E1,E2,E4,E5,-7.414000,303.522000,OK
0,6,adjacent,500,30,32,3,REV,E2,E1,E4,E5,8.844000,303.163000,OK
0,6,adjacent,500,30,32,4,FWD,E1,E2,E5,E6,-2.957000,304.759000,OK
0,6,adjacent,500,30,32,5,REV,E2,E1,E5,E6,0.742000,302.445000,OK
0,6,adjacent,500,30,32,6,FWD,E1,E2,E6,E7,19.355000,305.278000,OK
0,6,adjacent,500,30,32,7,REV,E2,E1,E6,E7,21.703000,302.126000,OK
0,6,adjacent,500,30,32,8,FWD,E1,E2,E7,E8,-2.117000,305.677000,OK
0,6,adjacent,500,30,32,9,REV,E2,E1,E7,E8,0.223000,301.847000,OK
0,6,adjacent,500,30,32,10,FWD,E1,E2,E8,E9,-30.984000,305.557000,OK
0,6,adjacent,500,30,32,11,REV,E2,E1,E8,E9,-28.695000,301.887000,OK
0,6,adjacent,500,30,32,12,FWD,E1,E2,E9,E10,-43.426000,306.116000,OK
0,6,adjacent,500,30,32,13,REV,E2,E1,E9,E10,-37.645000,301.248000,OK
0,6,adjacent,500,30,32,14,FWD,E1,E2,E10,E11,15.805000,305.717000,OK
0,6,adjacent,500,30,32,15,REV,E2,E1,E10,E11,31.934000,301.527000,OK
0,6,adjacent,500,30,32,16,FWD,E1,E2,E11,E12,5.922000,305.757000,OK
0,6,adjacent,500,30,32,17,REV,E2,E1,E11,E12,43.035000,301.448000,OK
0,6,adjacent,500,30,32,18,FWD,E2,E3,E4,E5,-19.070000,301.088000,OK
0,6,adjacent,500,30,32,19,REV,E3,E2,E4,E5,20.590000,307.074000,OK
0,6,adjacent,500,30,32,20,FWD,E2,E3,E5,E6,-4.797000,306.834000,OK
0,6,adjacent,500,30,32,21,REV,E3,E2,E5,E6,2.492000,305.438000,OK
0,6,adjacent,500,30,32,22,FWD,E2,E3,E6,E7,18.625000,307.393000,OK
0,6,adjacent,500,30,32,23,REV,E3,E2,E6,E7,22.492000,304.680000,OK
0,6,adjacent,500,30,32,24,FWD,E2,E3,E7,E8,-2.500000,308.670000,OK
0,6,adjacent,500,30,32,25,REV,E3,E2,E7,E8,0.574000,304.839000,OK
0,6,adjacent,500,30,32,26,FWD,E2,E3,E8,E9,-31.074000,308.271000,OK
0,6,adjacent,500,30,32,27,REV,E3,E2,E8,E9,-28.680000,304.680000,OK
0,6,adjacent,500,30,32,28,FWD,E2,E3,E9,E10,-42.691000,308.510000,OK
0,6,adjacent,500,30,32,29,REV,E3,E2,E9,E10,-38.398000,304.360000,OK
0,6,adjacent,500,30,32,30,FWD,E2,E3,E10,E11,19.230000,308.310000,OK
0,6,adjacent,500,30,32,31,REV,E3,E2,E10,E11,28.531000,304.440000,OK
0,6,adjacent,500,30,32,32,FWD,E2,E3,E11,E12,16.844000,308.869000,OK
0,6,adjacent,500,30,32,33,REV,E3,E2,E11,E12,31.953000,303.842000,OK
0,6,adjacent,500,30,32,34,FWD,E2,E3,E12,E1,-7.535000,308.350000,OK
0,6,adjacent,500,30,32,35,REV,E3,E2,E12,E1,22.672000,304.839000,OK
0,6,adjacent,500,30,32,36,FWD,E3,E4,E1,E2,-16.805000,325.827000,OK
0,6,adjacent,500,30,32,37,REV,E4,E3,E1,E2,9.723000,347.333000,OK
0,6,adjacent,500,30,32,38,FWD,E3,E4,E5,E6,-9.227000,332.690000,OK
0,6,adjacent,500,30,32,39,REV,E4,E3,E5,E6,7.168000,345.139000,OK
0,6,adjacent,500,30,32,40,FWD,E3,E4,E6,E7,16.953000,334.485000,OK
0,6,adjacent,500,30,32,41,REV,E4,E3,E6,E7,24.320000,344.141000,OK
0,6,adjacent,500,30,32,42,FWD,E3,E4,E7,E8,-3.352000,334.725000,OK
0,6,adjacent,500,30,32,43,REV,E4,E3,E7,E8,1.469000,344.221000,OK
0,6,adjacent,500,30,32,44,FWD,E3,E4,E8,E9,-31.336000,335.363000,OK
0,6,adjacent,500,30,32,45,REV,E4,E3,E8,E9,-28.410000,343.742000,OK
0,6,adjacent,500,30,32,46,FWD,E3,E4,E9,E10,-42.484000,335.722000,OK
0,6,adjacent,500,30,32,47,REV,E4,E3,E9,E10,-38.617000,343.702000,OK
0,6,adjacent,500,30,32,48,FWD,E3,E4,E10,E11,20.867000,335.642000,OK
0,6,adjacent,500,30,32,49,REV,E4,E3,E10,E11,27.023000,343.343000,OK
0,6,adjacent,500,30,32,50,FWD,E3,E4,E11,E12,21.023000,335.403000,OK
0,6,adjacent,500,30,32,51,REV,E4,E3,E11,E12,27.844000,343.862000,OK
0,6,adjacent,500,30,32,52,FWD,E3,E4,E12,E1,2.020000,335.642000,OK
0,6,adjacent,500,30,32,53,REV,E4,E3,E12,E1,12.855000,343.343000,OK
0,6,adjacent,500,30,32,54,FWD,E4,E5,E1,E2,-15.582000,341.827000,OK
0,6,adjacent,500,30,32,55,REV,E5,E4,E1,E2,3.125000,356.869000,OK
0,6,adjacent,500,30,32,56,FWD,E4,E5,E2,E3,-25.797000,348.849000,OK
0,6,adjacent,500,30,32,57,REV,E5,E4,E2,E3,19.113000,354.635000,OK
0,6,adjacent,500,30,32,58,FWD,E4,E5,E6,E7,4.996000,349.727000,OK
0,6,adjacent,500,30,32,59,REV,E5,E4,E6,E7,36.301000,353.518000,OK
0,6,adjacent,500,30,32,60,FWD,E4,E5,E7,E8,-8.477000,350.764000,OK
0,6,adjacent,500,30,32,61,REV,E5,E4,E7,E8,6.516000,353.039000,OK
0,6,adjacent,500,30,32,62,FWD,E4,E5,E8,E9,-33.586000,351.403000,OK
